name,activity,governorate,phone,linkedin_url,website,description,size,sector,headquarters,type,founded,error
BRM AGRO INDUSTRIE,Conservation et semi-conservation d'autres légumes.,Ben Arous,(216) - 79 404 980,https://fr.linkedin.com/company/bailagra,https://slmgbeverages.com/,"Welcome to Brindavan Agro Industries Pvt. Ltd., the authorized bottling partner of Coca-Cola for the Agra region and a proud unit of SLMG Group. As pioneers in the Agra zone, we were the first unit to foray with Coca-Cola India (CCI), marking the Coca Cola reentry into the Indian beverage market from Agra. Building on the legacy and expertise of SLMG Beverages—the largest Coca-Cola bottling franchisee in INSWA—we are committed to upholding the group’s values of quality, innovation, and customer satisfaction. Our Agra unit benefits from over three decades of the Ladhani Group’s manufacturing and distribution experience, backed by cutting-edge technology and robust infrastructure. As part of SLMG’s network of eight state-of-the-art bottling facilities, Brindavan Agro Industries continues to invest in operational excellence, community engagement, and delivering the very best to our customers, consumers, and partners in the Agra zone.",1 001-5 000 employés,Fabrication de produits alimentaires et boissons,"Agra, Uttar Pradesh",Société civile/Société commerciale/Autres types de sociétés,1988,
BT,Conditionnement et entreposage frigorifique de fruits et de légumes.,Tozeur,(216) - 71 381 262,https://fr.linkedin.com/company/bt,https://www.bt.com/about,"At BT, we deliver the connectivity, security and expertise that power modern British life. As the digital backbone of Britain, we support the systems, services and institutions the nation relies on every day– the trusted networks that millions of people depend on. Our purpose is simple: we connect for good. Because when connections work, there are no limits to what people can do. As technology continues to shape how we live, work and play, the role of connection has never been more important. Through the power of technology, we’re helping our customers – and the nation –thrive in a digital world.",+ de 10 000 employés,Télécommunications,London,Société cotée en bourse,,
BTM (TUNIS),Boissons rafraîchissantes.,Tunis,(216) - 71 786 738,https://fr.linkedin.com/company/btmcompanyllc,http://www.btmcomp.com,"Sheet Metal Joining Systems, Equipment & Tooling BTM is a global leader in the engineering and manufacturing of specialty presses, production systems, precision tooling and work holding equipment. Since 1966, BTM has provided customers with innovative equipment and tooling in the sheet metal industry. As a leading supplier of clinching tools & equipment, pierce tooling & equipment, inserted fastener equipment, work holding equipment and fully automated assembly systems, BTM serves a global customer base in automotive, appliance, construction, furniture, electrical & electronics, garage door, general industry, HVAC, machine builders, robotici integrators, semi travelers & RVs and system integrators industries. Clinching - BTM originated the sealed clinch joint and is the global leader in developing clinch joining technology along with premium tooling and manual and automated clinching equipment and presses. Clinching joins sheet metal by drawing and forming the part materials into an interlock. Using the part material improves production time and cost while eliminating welding and fasteners. It is an environmentally-friendly process – no sparks, fumes or heat. Tog-L-Loc®, Lance-N-Loc®, V-Loc™, Oval-Loc®, Fixed-Loc®, Special-Loc® and Custom-Loc® The Joining Force in Manufacturing. For more information, contact us at btmcomp.com ©2026 BTM Company L.L.C. All rights are reserved.",201-500 employés,Fabrication de machines d’automatisation,"Marysville, MI",Société civile/Société commerciale/Autres types de sociétés,1966,
BULL D'OR,Boissons rafraîchissantes.,Medenine,(216) - 75 620 261 / 75 748 788,https://fr.linkedin.com/company/bull,https://www.bull.com/,"Bull est un leader mondial du calcul haute performance, de l’intelligence artificielle et de l’innovation quantique – avec l’ambition de construire un monde numérique plus performant et responsable, guidé par la durabilité, la souveraineté et des résultats concrets. Bull permet aux institutions publiques, aux organismes de recherche et aux entreprises de façonner leur propre futur numérique. Avec plus d’un siècle d’expertise en informatique et en science des données et détenant plus de 1 500 brevets, Bull conçoit, fabrique et déploie à la fois des solutions matérielles et logicielles, tout en proposant des services à forte valeur ajoutée, pour créer de la valeur pour les entreprises de manière durable, accélérer la recherche scientifique et contribuer au succès de ses clients et au progrès de la société.",1 001-5 000 employés,Services et conseil en informatique,"Bezons, France",Société civile/Société commerciale/Autres types de sociétés,1931,
BVM,"Boulangerie - Biscotterie, biscuiterie, pâtisserie de conservation.",Ben Arous,(216) - 71 382 333,https://fr.linkedin.com/company/bvm-storage-solutions-pvt-ltd,http://bvmstorage.com,"The BVM Group is an integrated business enterprise providing end-to-end solutions across Logistics, Transportation, Warehousing, Staffing Solutions, Industrial Packaging, Express, and Tours & Travels - designed to perform at scale and with precision. Established in 2009 and headquartered in Chennai, we bring over 17 years of industry insight and on-ground expertise, supporting businesses with reliable, scalable, and efficient operations across India. Execution is where our promise comes to life. Powered by a robust in-house fleet, seasoned operational leadership, and a trusted national partner ecosystem, we maintain end-to-end control - from first-mile to last-mile. At BVM Group, we don't just deliver services - we deliver confidence, continuity, and long-term value. Our end-to-end approach means one relationship, one point of contact, and a fully consolidated experience - so you never have to look elsewhere. Our Verticals 🔹 Transport & Logistics Pan-India first-mile, middle-mile, last-mile & 3PL services. 🔹 Warehousing Secured storage and efficient inventory handling. 🔹 Packaging Industrial packaging for safe and efficient goods movement. 🔹 Express Services Time-critical, high-priority deliveries. 🔹 Staffing Solutions Skilled workforce deployment for operational needs. 🔹 Tours & Travels Curated domestic & international travel, tailored end to end. Operational Strength A fleet of 85+ company-owned trucks, attached vehicles, and a fully equipped travel fleet - all GPS-tracked by a centralized operations team ensuring real-time visibility and accountability. Our Promise We go beyond service delivery. We build systems that enable consistency, efficiency, and trust at scale - whether managing supply chains, moving goods, or crafting exceptional travel experiences. Driven by expertise. Defined by execution. Positioned for sustainable growth.",201-500 employés,"Transport, logistique, chaîne logistique et stockage","Chennai, Tamil Nadu",Société civile/Société commerciale/Autres types de sociétés,2009,
CAFE BEN KRAIEM,Transformation  du café et du thé.,Gabes,(216) - 75 277 820 / 75 238 552,https://fr.linkedin.com/company/ben%27s-cafe,http://www.benscafe.be,,,Restaurants,Tongeren,,,
CAFE EL ABED,Transformation  du café et du thé.,Sousse,(216) - 98 401 440 / 73 238 302,https://fr.linkedin.com/company/aaabed,http://www.aaabed.com,"About Us Ahmad A. Abed Holding Company is a leading company in the food and baking industry, renowned for its deep-rooted expertise and innovative approach. Established with a commitment to excellence, the company has grown to become a trusted partner for professional bakers, chefs, and food service businesses across the region. With a strong portfolio of brands and subsidiaries, Ahmad A. Abed Holding Company operates across multiple verticals, offering premium-quality ingredients, products, and services that meet the highest industry standards. The company’s key businesses include: BakeMate – A specialized brand offering a wide range of baking ingredients and solutions tailored to meet the needs of both professional and home bakers. Moltaqa Al-Khabbazeen – A retail business providing a comprehensive selection of baking essentials and tools, serving as a go-to destination for baking professionals and enthusiasts. Khadija Cold Storage Company – A state-of-the-art cold storage facility, ensuring the highest level of product freshness and quality control. Our commitment to innovation, quality, and customer satisfaction drives our continuous growth and success. At Ahmad A. Abed Holding Company, we aim to empower our customers with the finest products and services, fostering long-term partnerships and delivering value at every step. Visit our website to learn more: www.aaabed.com",501-1 000 employés,Fabrication de produits alimentaires et boissons,"Riyadh, Riyadh",Société civile/Société commerciale/Autres types de sociétés,1977,
CAFE NEBLI,Transformation  du café et du thé.,Sousse,(216) - 25 434 677 / 73 322 990,https://fr.linkedin.com/company/keyiflifikirlerreklamtasarim,http://www.keyiflifikirler.com.tr,Keyifli Fikirlerin tasarım ile buluştuğu yer...,11-50 employés,Services de design,"Beylerbeyi, Üsküdar, Istanbul",Société civile/Société commerciale/Autres types de sociétés,2012,
CAFES BEN YEDDER,Transformation  du café et du thé.,Ben Arous,(216) - 70 837 444 / 71 296 936,https://fr.linkedin.com/company/junior-entreprise-insat,http://juniorinsat.tn/,"La Junior Entreprise INSAT est une association à but non lucratif fondé en 2005 et a rejoint la Confédération Nationale des Juniors Entreprises JET en 2012. La mission de la Junior Entreprise INSAT est de former les différents étudiants dans le domaine de l'entreprenariat et leur faciliter de ce fait l'intégration dans la vie professionnelle. Les principales compétences de la Junior Entreprise INSAT tournent principalement autour du développement Web, du développement mobile et du référencement.",51-200 employés,Services et conseil en informatique,"Centre Urbain Nord, Tunis",Non lucratif,,
CAFES BONDIN,Transformation  du café et du thé.,Ariana,(216) - 70 011 111 / 70 837 444,https://fr.linkedin.com/company/bowserbeancafe,https://www.bowserbean.com.au/,"As an Australian owned and family run business with over 30 years in the industry, we’ve always operated with a simple promise – to serve and support the regional communities of Victoria and New South Wales. Today we’re super proud of the way our team, products and services are delivering on that promise, yet we’re always looking for even better ways to surprise and delight. Bowser Bean cafes are comfy and clean well-equipped spaces where you can savour a meal, catch up on work, or just rest a while before continuing on your way. Choose from a hot and cold food menu featuring all your family favourites as well as tempting daily specials. And however you love your coffee, we can keep your well-fuelled. Because not only do we fully train our baristas but we use Melbourne-roasted Beraldo beans and offer a range of specialty milks. So whether you want to kick-start your morning or need a pick-me-up at night you can trust that your Bowser Bean coffee is destined to hit the spot.",201-500 employés,Services de restauration,"South Melbourne, Victoria",Société civile/Société commerciale/Autres types de sociétés,2017,
CAFRICA,Transformation  du café et du thé.,Kairouan,,https://fr.linkedin.com/company/caedafrica,www.caedafrica.com,"CAED Africa creates economic opportunities for youths in marginalized Sub-Sahara Africa by training on innovative Agriculture and entrepreneurship, while providing support to launch Agribusinesses, and building an inclusive system to connect farmers, investors, consultants, and market. Our mission is to facilitate access to valuable knowledge and skills, digital and food technologies, markets, and finance for innovative agricultural entrepreneurs in Africa to increase food security and employment",11-50 employés,Organisations à but non lucratif,"Bamenda-Cameroon, North West Region",Non lucratif,2018,
CAP SAISONS,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Monastir,(216) - 73 408 463 / 73 408 464,https://fr.linkedin.com/company/uma-embarcations-4-saisons-inc-,http://www.uma17.com,"Brevetée internationalement, la UMA 17 est la seule embarcation conçue spécifiquement pour le climat nordique. Approuvée par Transport Canada, elle est la solution la plus rapide pour les interventions d'urgence en eaux glacées.",2-10 employés,Sécurité civile,"Montmagny, Québec",Travailleur indépendant,2005,
CAP ZARZIS,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Medenine,(216) - 75 681 540,https://fr.linkedin.com/company/cap-holding,https://capholding.ma/,"Cap Holding est né de la volonté de consolider nos acquis dans le secteur de la meunerie tout en mettant en place de nouvelles filiales (transport, stockage, industries de sacs…). Notre maîtrise des processus et de l’environnement nous a permis de créer de la valeur ajoutée et de nous positionner en tant que leader sur le marché. C’est en 1999 que Chakib ALJ et Mohamed ALJ créent Cap Holding qui a réussi au fil des années à établir un écosystème par l’intégration et l’interaction entre les différentes sociétés du groupe. Cap Holding compte aujourd’hui 4 pôles et 21 filiales opérants dans différents secteurs, notamment le négoce de céréales, la minoterie industrielle, l’industrie de l’alimentation animale, l’industrie des sacs en polypropylène et polyéthylène, le stockage, la logistique, et autres. L’engagement de nos 1900 collaborateurs est derrière le succès du groupe et la synergie entre ses différentes filiales. Cap Holding, c’est aussi 20 ans de solidarité entre générations et de renouvellement dans la continuité. Une histoire de famille et de culture d’entreprise qui se transmet de génération en génération avec comme principale valeur, l’esprit de responsabilité et d’initiative.",1 001-5 000 employés,Sociétés holding,CASABLANCA,Société civile/Société commerciale/Autres types de sociétés,1999,
CAPTAIN SINDBAD,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Sfax,(216) - 71 941 911 / 74 497 479,https://fr.linkedin.com/company/sindibad-group,http://www.sindibadgroup.com,"Sindibad Group is a leading customer experience research, development and consulting firm. Socially committed and eager to solve region’s most pressing development challenges, we are taking it upon ourselves to turn technology into a catalyst to reach service excellence and push Innovation and competitiveness in the region. We help our partners lead their transformational journeys to achieve customer-centricity and build loyalty by engaging the hearts and minds of their customers, employees, and partners, combining customer experience thought leadership with a deep understanding of customer’s insights and problems and capitalizing on our lean thinking, digital transformation, service design, data analytics and business process management expertise. Based on our Belief, that Improving Customer Experience will drive better business results, we partner with enterprises, service providers, research centers, universities, and any change agent to design, build and deliver added value solutions to solve meaningful problems.",2-10 employés,Technologies et services de l’information,"Sousse, Sousse",Partenariat,,
CARTHAGE CRISPIES,Condiments et assaisonnements.,Sfax,(216) - 52 943 841,https://fr.linkedin.com/company/hanzade-natural-stone,https://tesys.international/,"The UMB group has inherited a know-how and expertise in the pleasure and the nautical environment for generations. Each of the companies in the group conveys all the passion and professionalism necessary to ensure exceptional quality. UMB conceives, designs and builds sailing yachts and motorboats to match to everyone's sailing dreams. In this sense, we believe that our teams must be motivated and willing to get involved in this project to give the best of themselves.",51-200 employés,Construction navale,"LA MARSA, LA MARSA",Partenariat,,
CARTHAGE FOOD (KAIROUAN),Transformation et conservation de tomates - Conservation et semi-conservation d'autres légumes - Transformation et conservation de fruits et légumes.,Kairouan,(216) - 70 241 370 / 70 241 373,https://fr.linkedin.com/company/we-love-kairouan,http://www.welovekairouan.org,"The We Love Kairouan Associatio, founded in March 2012 Is an independent non-profit organization based in Kairouan, Tunisia. Its mission, with a primary focus on Culture, Environment, citizenship and participation, aims to promote youth participation in local level in order to preserve and develop the Kairouan's city",2-10 employés,Organisations civiques et sociales,"Kairouan, Tunisia",Non lucratif,2012,
CBF PLUS,Conditionnement et entreposage frigorifique de fruits et de légumes.,Nabeul,(216) - 72 204 610 / 72 370 790,https://fr.linkedin.com/company/cbf-associes,http://www.cbfassocies.com/fr/,"Le cabinet CBF ASSOCIES, société d’administrateurs judiciaires, accompagne les entreprises, quelle que soit leur taille, dans la gestion des problématiques qu’elles peuvent rencontrer dans des contextes économiques difficiles. Basé historiquement à Toulouse, le cabinet CBF est également présent dans plusieurs régions de France et outre-mer : Paris, Bayonne, La Réunion, Bordeaux, Aix-en-Provence, Papeete, Nouméa. Il est ainsi amené à traiter des dossiers dans tous les secteurs d’activités, de la micro entreprise aux grands groupes industriels, aussi bien dans des contextes régionaux, nationaux qu’internationaux. Conseil et prévention, au travers notamment des dispositifs légaux du « mandat ad hoc » et de la « conciliation » permettent aux entreprises, avec l’assistance de nos spécialistes, d’anticiper sereinement l’évolution de leur situation. Elles peuvent ainsi procéder à des ajustements tant stratégiques qu’opérationnels afin de rationaliser leur gestion financière. Dans le cas de situations financières dégradées, des procédures supplémentaires peuvent être mises en place, à l’initiative de l’entreprise dans le cadre de la « sauvegarde », ou bien également de tiers en cas de cessation des paiements conduisant à un « redressement judiciaire ». Dans toutes ces hypothèses le cabinet CBF Associés intervient aux côtés des entreprises et de leurs dirigeants afin d’assurer la pérennité de l’activité. D’autres procédures spécifiques (sauvegarde anticipée, sauvegarde financière accélérée, administration provisoire civile et commerciale) permettent également de répondre à toutes les problématiques sociales, financières et juridiques que rencontrent les entreprises.",11-50 employés,Services juridiques,"Toulouse, Occitanie",Partenariat,2007,
CCF,Conditionnement et entreposage frigorifique de fruits et de légumes.,Kebili,(216) - 75 470 355 / 98 431 975,https://fr.linkedin.com/company/ccf,http://www.ccfltd.co.uk,"CCF offers a comprehensive range of products and complete solutions for contractors and builders, with competitive prices and reliable deliveries that will help you finish your projects on time and within budget. We are committed to working with our customers to deliver a convenient and efficient service, it’s what makes us completely customer focused! Our in-house Technical Team and knowledgeable colleagues are on hand to help you deliver your goals. In addition, we are leading the way towards net zero by trialling and implementing multiple initiatives that will help us and our customers achieve the UK’s net zero goals.",501-1 000 employés,Commerce de gros de matériaux de construction,Northampton,Société cotée en bourse,1978,
CEDARS,"Chocolaterie, confiserie.",Sousse,(216) - 73 811 855 / 56 020 975,https://fr.linkedin.com/company/cedars-bc,https://www.cedars-bc.com/,"Cedars BC is a German-Lebanese Data & AI consulting firm helping organizations across Europe and the Gulf build modern, reliable, and truly data-driven operations. We deliver analytics and AI solutions that improve decision-making, increase reporting speed, and create measurable business impact. We design and implement end-to-end solutions across Power BI, Microsoft Fabric, Azure Data, and AI technologies — covering data strategy, architecture, data engineering, dashboards, reporting, machine learning, and AI-driven automation. Our work focuses on building scalable, secure, and future-proof data platforms that enable faster insights and better decisions. For End Clients: We provide the specialized expertise companies need to modernize their analytics and adopt AI without expanding internal teams. From building enterprise Power BI environments to implementing Fabric-based data platforms or introducing practical AI use cases, we help clients turn data into a real competitive advantage. Our experience spans finance, retail, manufacturing, logistics, healthcare, and the public sector. For IT Integrators & Consulting Firms: A significant part of our delivery is white-label/subcontracting support for partners who need additional capacity in Power BI, Fabric, AI implementation, and data engineering. We integrate seamlessly under your brand, helping you scale delivery, strengthen proposals, and deliver more projects with confidence and consistency. As a Microsoft Partner, Cedars BC follows best practices across the Microsoft Data ecosystem and ensures our clients benefit from secure, high-quality, and future-ready solutions. Our combination of German quality standards and Lebanese agility allows us to deliver fast, flexible, and reliable execution across all engagements. If you’re building your next data or AI initiative — or looking for a trusted partner to support your delivery — let’s connect.",11-50 employés,Technologies et services de l’information,lebanon,Société indépendante,2021,
CENTRAL FEED,Aliments pour animaux de ferme.,Ben Arous,(216) - 71 452 516,https://fr.linkedin.com/company/feedcentral-pty-ltd,http://www.feedcentral.com.au,"We BUY, SELL, TEST Hay, Grain, Straw & Silage. BUY - Access to all types of fodder for sale all across Australia. Taking the hassle out of buying. SELL - List your product for sale and market to over 10,000 registered buyers TEST - Test your product to industry recognised standards Everything we do is about the right Quality at the right time with the right information. Call us today on 1300 669 429 or visit www.feedcentral.com.au",11-50 employés,Agriculture,"Charlton, QLD",Société civile/Société commerciale/Autres types de sociétés,2001,
CENTRALE LAITIERE DE SIDI BOUZID,"Laiteries, fromageries et yaourterie.",Sidi Bouzid,(216) - 70 018 040 / 70 180 040,https://fr.linkedin.com/company/dolait-c%C3%B4te-d-ivoire,https://sotigroup.com/marque/dolait/,Dolait est une marque de produits laitiers fabriquée par SOTIV [Société de Transformation Ivoirienne],51-200 employés,Fabrication de produits laitiers,Bonoua,Partenariat,2022,
CEPTUNES,Vins de raisins frais.,Nabeul,(216) - 72 283 702 / 72 212 725,https://fr.linkedin.com/company/cebupacificair,https://jgsummit.darwinbox.com/ms/candidatev2/a610f788ec3e0b/careers/home,"The Philippines’ leading airline, Cebu Pacific (CEB) entered the aviation industry in March 1996 and pioneered the “low fare, great value” strategy in the country. We have served over 200 million passengers. We operate one of the most modern fleets in the world, and expect delivery of seven brand-new Airbus A321CEOs, 32 Airbus A321NEOs until 2022. The new aircraft will support our expansion plans across the region, further boosting a network that now spans over 100 routes and over 60 destinations. We operate from 7 strategically placed hubs: Manila, Cebu, Clark, Kalibo, Iloilo, Cagayan de Oro and Davao, helping us fly the most extensive network and most inter-island flights in the Philippines. CEB is also the preferred air cargo carrier in the Philippines, linking islands together through exchange of goods. We provide competitive, fast, flexible and straightforward air cargo service to an extensive network including individual shippers and cargo agents within the country and overseas. Together with seven other Asia-Pacific market champions, CEB launched the world’s largest low-cost carrier (LCC) alliance – the Value Alliance. CEB (including wholly owned subsidiary Cebgo), Jeju Air, Nok Air, NokScoot, Scoot, Tigerair Singapore, Tigerair Australia and Vanilla Air together, serve more than 160 destinations with a collective fleet of 176 aircraft across the Asia-Pacific region, and offer customers a better, one-stop-shop experience. Visit www.cebupacificair.com or follow us on the following pages too: Facebook www.facebook.com/cebupacificairphilippines Twitter @CebuPacificAir Instagram @CebuPacificAir YouTube www.youtube.com/CebuPacificAir",1 001-5 000 employés,Transport aérien,"Pasay City, Metro Manila",Société civile/Société commerciale/Autres types de sociétés,1996,
CEREALIS,Pommes de terre.,Manouba,(216) - 71 961 996 / 28 528 528,https://fr.linkedin.com/company/cerealiscz,www.cerealis.cz,"CEREALIS, a.s. je leadrem trhu těstovin a jednou z největších potravinářských firem v České republice. Výroba pokrývá všechny segmenty těstovin – vaječné, bezvaječné semolinové. Europasta a.s. je značkovým výrobcem s klíčovými značkami Adriana pasta, Zátkovy těstoviny, Rosické těstoviny a Ideál (značka zejména pro slovenský trh).",51-200 employés,Agro-alimentaire,"Tři Dvory, Central Bohemian Region",Société indépendante,1884,
CFA,Conditionnement et entreposage frigorifique de fruits et de légumes.,Siliana,(216) - 70 254 680 / 78 820 050,https://fr.linkedin.com/company/cfainstitute,http://www.cfainstitute.org/,"Our members and charterholders advance market integrity, trust, and transparency in their professions to build more sustainable, inclusive, and prosperous societies. With a heritage of over 75 years, CFA Institute has 200,000 members in 160 locations around the world, providing an unparalleled network of visionary leaders. Our rigorous CFA Institute qualifications and education offerings are designed to support professionals in their practice areas and build confidence with our clients and partners. Our world-class Research & Policy Center offers an unbiased forum for industry leaders, regulators and subject matter experts to help shape policy and drive positive change. As we are faced with increasingly complex challenges such as climate change, inequality, geopolitical conflicts and much more, we are focused on collaborating with current and future members to set and uphold standards to ensure positive, sustainable progress around the globe. CFA® is a registered trademark of CFA Institute.",501-1 000 employés,Services financiers,"Charlottesville, VA",Non lucratif,1947,
CGA,Glaces et sorbets.,Gabes,(216) - 98 434 000 / 75 297 081,https://fr.linkedin.com/company/cgacaribbean,https://cgacaribbean.com/,"Our Story is tied to the Soil of the Caribbean… CGA Limited is proud to be the only indigenous manufacturer of soaps, edible oils, margarines and shortenings for over 80 years. Our story is tied to the soil of the Caribbean. Just like the coconut tree, a symbol representing leisure and shade for some and a core for us. We are a private company located in Trinidad manufacturing soaps, edible oils and fats. Everything we do is done in the region using Caribbean materials, knowledge and experience. We provide both direct and indirect employment across the region. From the coconut tree comes copra, the dried kernels of the coconut which contains over 65% oil. We’ve been pressing oil from copra since 1937. That was the year estate owners from across the islands, from varying backgrounds, came together to form an association. A year later they commissioned a central mill in Laventille where all copra could be brought and processed. While we might no longer be an association, our location has never changed. Over the years we’ve expanded from solely manufacturing highly digestible coconut oil, into making margarines, shortenings, soaps as well as many other products. Large multinational firms, small private ones, and major food chains contract us too. If you live in the Caribbean, especially Trinidad and Tobago, you’d be surprised to find out just how many products you use or eat everyday that contain ingredients manufactured by us. We may have started off small but we have grown to be a national brand found in stores across the island from Toco to Icacos. We have found our way across the region and are continuing to grow further abroad too. So you see our story is very much a local Caribbean one. And as much as we love the shade of the coconut tree we’ve learned to use it for so much more than that.",51-200 employés,Industrie manufacturière,Port of Spain,Société civile/Société commerciale/Autres types de sociétés,1937,
CHAMS ALA DATTES ET FRUITS,Conditionnement et entreposage frigorifique de fruits et de légumes.,Tozeur,(216) - 55 014 503 / 22 882 459,https://fr.linkedin.com/company/gulf-fruits-company-llc,www.gulffruits.com,"""Delivering Freshness. Driving Excellence. Growing Together.” Founded in 2008, Gulf Fruits has established itself as a trusted leader in the fresh fruits and vegetables industry across the UAE, delivering quality, freshness, and reliability with every order. Built on a foundation of operational excellence and customer commitment, the company proudly serves the HORECA, retail, wholesale, and e-commerce sectors with consistency and integrity. More than just a fresh produce supplier, Gulf Fruits has evolved into a complete food solutions partner, effectively managing a modern production unit offering fresh juices, cut fruits, and healthy salads tailored to the evolving lifestyle needs of customers. Through its growing e-commerce platform, the company continues to provide a seamless and convenient shopping experience with access to premium fresh products and daily essentials. At the heart of Gulf Fruits is a passionate team driven by innovation, teamwork, accountability, and a shared commitment to excellence. The organization continuously strives to raise industry standards in sourcing, food safety, distribution, and customer satisfaction while empowering employees to grow alongside the company’s success. “From Farm to Fork - Freshness You Can Trust.” “Rooted in Quality. Powered by People.”",201-500 employés,Services de restauration,"Dubai, Dubai",Société civile/Société commerciale/Autres types de sociétés,2008,
CHAMS EZZIOUT,Huiles d'olives et conditionnement.,Sfax,(216) - 23 412 036,https://fr.linkedin.com/company/chamsaccessltd,http://www.chamsaccess.com,"ChamsAccess Limited is a Leading Access and Technology Solutions Company focused on providing Customized Solutions that create instant value for our customers. Established in 2009, as a subsidiary of Nigeria’s indigenous Identity management and transactional service provider - Chams Plc, ChamsAccess is committed to providing simplified technology solutions to enhance peoples’ lives. ChamsAccess in collaboration with world-class IT firms deploys integrated solutions designed to achieve enterprise needs. We collaborate with Leading technology organizations as well as with customers to deliver top notch, secure technological solutions free from hassles. As a Fintech, we avail the banks with the necessary technology leverage to meet their customers’ demands. Initially, ChamsAccess was involved in the sale, deployment & support self-service Kiosks and ATM’s. Through series of restructuring, we have evolved to become a major leader in access and technology solutions space. Lagos Office: 8 Louis Solomon Close, off Ahmadu Bello Way, Victoria Island, Lagos Tel: 08039123308, 08029454099 Abuja Office: Plot 66, 1st Avenue, Shehu Shagari Road, Central Area, Abuja. Tel: 07056123125, 08060560600",11-50 employés,Technologies et services de l’information,"Victoria Island, Lagos",Société cotée en bourse,2009,
CHARK,Industrie du tabac.,Sousse,(216) - 73 387 084 / 58 810 363,https://fr.linkedin.com/company/acharkpharmacy,https://www.facebook.com/KayBee-pharma-128058307820741/,Pharmacy in Hamra facing AUBMC,11-50 employés,Fabrication de produits pharmaceutiques,"Beirut, Beirut",Société civile/Société commerciale/Autres types de sociétés,1910,
CHATEUR FRERES,Conditionnement et entreposage frigorifique de fruits et de légumes.,Nabeul,(216) - 72 204 828,https://fr.linkedin.com/company/cellulose-packaging,https://www.cellulosepackaging.fr/,Cellulose & Packaging est le spécialiste français de la fabrication de pots et couvercles à destination de l'industrie Agro Alimentaire.,51-200 employés,Fabrication d’emballages et conteneurs,"Donzy, Bourgogne-Franche-Comté",Société civile/Société commerciale/Autres types de sociétés,,
CHEBEL,Huiles d'olives et conditionnement.,Sfax,(216) - 98 487 973,https://fr.linkedin.com/company/tractebel-engie-group,https://www.tractebel-engie.com,"Tractebel est une société internationale d'ingénierie et de conseil qui propose des solutions intégrées pour des projets d'énergie et d'infrastructures durables. Notre expertise est reconnue dans le monde entier dans de nombreux secteurs tels que le nucléaire, les énergies renouvelables, l'électricité et le gaz, les réseaux électriques, l'hydroélectricité et les barrages, les ressources et l'approvisionnement en eau, le dessalement, les bâtiments complexes et de haute technologie, les infrastructures de transport, les ports et les voies navigables. En associant la stratégie, la conception, l'ingénierie, les études sociales et environnementales, la gestion de projet et le développement interne d’outils numériques innovants, nous faisons équipes avec les entreprises et les autorités publiques pour créer un impact positif sur les populations et la planète. Fort de plus de 150 ans d'expérience, Tractebel est aujourd'hui une communauté de plus de 5 600 experts passionnés à travers le monde, qui s'engagent en faveur d'une ingénierie éthique et de la lutte contre le changement climatique. Tractebel fait partie du groupe ENGIE, une référence mondiale en matière d'énergie et de services à faible émission de carbone",5 001-10 000 employés,Services d’ingénierie,"Brussels, Brussels",Société civile/Société commerciale/Autres types de sociétés,,
CHELBI DE HUILE D'OLIVE,Huiles d'olives et conditionnement.,Kairouan,(216) - 21 226 653,https://fr.linkedin.com/company/chelebi,http://www.chelebi.az,"CHELEBI reimagines Azerbaijani cultural treasures through a modern lens, blending traditional designs with contemporary elegance. Named after a mountain village in Karabakh, the brand unites the rich heritage of Azerbaijan with modern artistry. CHELEBI was founded in 2013 by Aida Mahmudova, artist, founder and creative director of YARAT Contemporary Art Space.",11-50 employés,Fabrication de meubles et d’articles d’ameublement,"Nasimi Raion, Baku City",Société civile/Société commerciale/Autres types de sociétés,2013,
CHEMLELI DE PRODUCTION AGRICOLE,Huiles d'olives et conditionnement.,Medenine,(216) - 98 386 489,https://fr.linkedin.com/company/cooperative-agricole-de-cereales,https://cac68.nous-recrutons.fr/,"La Coopérative Agricole de Céréales (CAC) est depuis 1947 une entreprise coopérative dont la vocation est d’assurer le développement économique et le revenu de ses associés coopérateurs. Elle occupe une place prépondérante dans le paysage agricole alsacien et fédère 3 600 adhérents agriculteurs dans les secteurs des céréales, de l’élevage (nutrition animale et collecte d’animaux), de la viticulture, et des cultures spécialisées (vigne, arboriculture, maraîchage et espaces verts). La CAC exerce ses métiers de collecte et d’agrofournitures, réalise 150 M€ de chiffre d’affaires et compte 150 salariés, 26 centres de collecte, 21 magasins d’approvisionnement dont 4 en cultures spécialisées. Elle conseille, accompagne les agriculteurs dans la conduite de leurs cultures et investit dans l’expérimentation et la recherche de nouvelles solutions agronomiques dans une logique de performance et de respect des ressources naturelles.",51-200 employés,Agriculture,"Colmar, Grand Est",Partenariat,1947,
